gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used
400000,294000000000 ,1161879,170340
400000,292000000000 ,9533013,176835
400000,253000000000 ,7879639,175287
400000,262000000000 ,6687266,176391
400000,195000000000 ,9548835,176367
400000,156000000000 ,2503820,238643
400000,185000000000 ,2145516,176655
400000,172800000000 ,14345177,176379
400000,190000000000 ,14212700,176547
400000,186000000000 ,2260975,176607
400000,182850000000 ,868689,176847
400000,157300000000 ,8331300,175155
400000,169000000000 ,8009697,176631
400000,257000000000 ,7586593,176883
400000,262000000000 ,6868203,176595
400000,220000000000 ,5944015,176655
400000,188500000000 ,10394765,171841
400000,172000000000 ,10845777,176823
400000,200000000000 ,2075701,176691
400000,200000000000 ,9514201,175155
400000,202000000000 ,4429341,36171
400000,202020000000 ,4919098,175059
400000,230000000000 ,6477093,176571
400000,231000000000 ,6375532,176703
400000,207000000000 ,5440351,176391
400000,205000000000 ,11389837,176691
400000,203000000000 ,8808676,176559
400000,195000000000 ,5282505,176751
400000,184000000000 ,6281936,176607
400000,186000000000 ,8250874,176343
400000,201000000000 ,7424352,176391
400000,201000000000 ,7601211,176859
400000,217000000000 ,11412101,176679
400000,194000000000 ,3301125,36399
400000,309000000000 ,1140333,176655
400000,314000000000 ,7560790,176571
400000,307000000000 ,3273293,176655
400000,300000000000 ,11240523,238655
400000,390000000000 ,2618152,176199
400000,349000000000 ,9419922,176391
400000,346000000000 ,6781026,176871
400000,340400000000 ,7319535,176667
400000,357000000000 ,4019998,175071
400000,357000000000 ,3652126,44588
400000,312400000000 ,6641410,172309
400000,309600001750 ,3268363,170580
400000,289000000000 ,13555928,175311
400000,304700000000 ,1290852,175275
400000,310000000000 ,4059997,176679
400000,295412284000 ,14260723,175335
400000,268000000000 ,5547852,176559
400000,248820000000 ,3426579,176643
400000,250000000000 ,5152479,176501
400000,239000000000 ,8900675,239075
400000,214000000000 ,2963400,176991
400000,197000001561 ,4951920,176871
400000,146000000000 ,10534683,174999
400000,123750000000 ,12938223,176415
400000,155880000000 ,465088,176391
400000,129900000000 ,1209055,176391
